English, Bahasa Indonesia
Hotspot,Area bersinyal
Absolute Address,Alamat tetap
Access,Akses
Access Time,Waktu akses
Automatic Data Processing/ADP,Pemrosesan Data Otomatis
Algorithm,Algoritme
Database,Basis data
File,Berkas
Byte,Bita
Track ball,Bola jejak
form,Borang
CD-rewriteable,CD-bisa tulis ulang
Floopy disk,Cakram flopi
Hard disk,Cakram keras
Compact disk,Cakram kompak
Optical disk,Cakram optis
Print,Cetak
Chip,Cip
Online,Dalam Jaringan/Daring
DVD Rewriteable,DVD Bisa Tulis Ulang
Light-emitting diode,Diode pancaran cahaya
Mailing list,Daftar e-mail
Ethernet,Eternet
Multipurpose Internet Mail Extension,Ekstensi surat internet multiguna
File,Berkas komputer
Font,Fon
Copyright,Hak cipta
Home,Halaman Utama
Broadband,Jalur lebar
Local area network,Jaringan area lokal
Wide area network,Jaringan area luas
Sound card,Kartu suara
Cartridge,Kartrij
Artificial Intelligence,Kecerdasan buatan
Chip,Keping
Clone,Klon
Analog computer,Komputer analog
Mainframe computer,Komputer bingkai utama; Komputer kerangka induk
Personal computer,Komputer pribadi
Console,Konsol
Laptop,Laptop
Touch screen,Layar sentuh
Web hosting service,Layanan induk web
Bandwidth,Lebar pita
Junk,Limbah
Offline,Luar Jaringan/Luring
Logins,Login
Field,Medan
Random Access Memory,Memori Akses Acak
Microcomputer,Mikrokomputer
Minicomputer,Minikomputer
Monitor,Monitor
Load,Muat
Jailbreak,Menjebol kungkungan
Keyboard,Papan Ketik
Pointing device,Peranti penunjuk
Light pen,Pena cahaya
Scanner,Pemindai
Printer,Pencetak
Speaker,Penguat suara
Mother board,Papan induk; Papan utama
Parallel port,Porta paralel
Input device,Peranti masukan
Output device,Peranti keluaran
Liquid crystal display,Penampil kristal cair
Software,Perangkat lunak
Software maintenance,Pemeliharaan perangkat lunak
Display device,Peranti penampil
Device driver,Pemacu peranti
Device driver,Penggerak peranti
Input device,Peranti masukan
Output device,Peranti keluaran
Pointing device,Peranti penunjuk
Baseband,Pita basis
Preview,Pratayang
Crack,Rengkah
Cyberspace,Ruang siber
Copy,Salin
 Soft Copy,Salinan Halus
 Hard Copy ,Salinan Kasar
Password,Sandi lewat
Global Positioning System,Sistem kedudukan global
Save,Simpan
Save As,Simpan sebagai
Domain name server,Server nama ranah
optical fiber,Serat optis
Server,Server
Web server,Server web
Proxy server,Server proksi
runtime,Tempo kerja
Cache,Tembolok
Mouse,Tetikus
Button,Tombol
Joystick,Tongkat ria
Central Processing Unit,Unit Pemroses Sentral
Worm,Worm
